Word: the, Cluster: -1
Word: and, Cluster: -1
Word: to, Cluster: -1
Word: of, Cluster: -1
Word: a, Cluster: -1
Word: that, Cluster: -1
Word: i, Cluster: -1
Word: in, Cluster: -1
Word: it, Cluster: -1
Word: you, Cluster: -1
Word: we, Cluster: -1
Word: is, Cluster: -1
Word: this, Cluster: -1
Word: they, Cluster: -1
Word: was, Cluster: -1
Word: so, Cluster: -1
Word: for, Cluster: -1
Word: are, Cluster: -1
Word: have, Cluster: -1
Word: what, Cluster: -1
Word: do, Cluster: -1
Word: on, Cluster: -1
Word: but, Cluster: -1
Word: with, Cluster: -1
Word: can, Cluster: -1
Word: about, Cluster: -1
Word: be, Cluster: -1
Word: there, Cluster: -1
Word: not, Cluster: -1
Word: as, Cluster: -1
Word: at, Cluster: -1
Word: all, Cluster: -1
Word: my, Cluster: -1
Word: people, Cluster: -1
Word: one, Cluster: -1
Word: like, Cluster: -1
Word: if, Cluster: -1
Word: from, Cluster: -1
Word: our, Cluster: -1
Word: or, Cluster: -1
Word: an, Cluster: -1
Word: just, Cluster: -1
Word: he, Cluster: -1
Word: these, Cluster: -1
Word: when, Cluster: -1
Word: because, Cluster: -1
Word: me, Cluster: -1
Word: by, Cluster: -1
Word: very, Cluster: -1
Word: out, Cluster: -1
Word: how, Cluster: -1
Word: now, Cluster: -1
Word: them, Cluster: -1
Word: had, Cluster: -1
Word: more, Cluster: -1
Word: know, Cluster: -1
Word: going, Cluster: -1
Word: up, Cluster: -1
Word: would, Cluster: -1
Word: were, Cluster: -1
Word: who, Cluster: -1
Word: their, Cluster: -1
Word: your, Cluster: -1
Word: think, Cluster: -1
Word: see, Cluster: -1
Word: which, Cluster: -1
Word: really, Cluster: -1
Word: get, Cluster: -1
Word: us, Cluster: -1
Word: here, Cluster: -1
Word: laughter, Cluster: -1
Word: then, Cluster: -1
Word: some, Cluster: -1
Word: time, Cluster: -1
Word: world, Cluster: -1
Word: has, Cluster: -1
Word: could, Cluster: -1
Word: into, Cluster: -1
Word: will, Cluster: -1
Word: did, Cluster: -1
Word: where, Cluster: -1
Word: actually, Cluster: -1
Word: way, Cluster: -1
Word: years, Cluster: -1
Word: things, Cluster: -1
Word: other, Cluster: -1
Word: no, Cluster: -1
Word: want, Cluster: -1
Word: been, Cluster: -1
Word: go, Cluster: -1
Word: make, Cluster: -1
Word: she, Cluster: -1
Word: those, Cluster: -1
Word: right, Cluster: -1
Word: something, Cluster: -1
Word: said, Cluster: -1
Word: well, Cluster: -1
Word: first, Cluster: -1
Word: than, Cluster: -1
Word: two, Cluster: -1
Word: much, Cluster: -1
Word: also, Cluster: -1
Word: new, Cluster: -1
Word: look, Cluster: -1
Word: even, Cluster: -1
Word: most, Cluster: -1
Word: got, Cluster: -1
Word: little, Cluster: -1
Word: thing, Cluster: -1
Word: over, Cluster: -1
Word: only, Cluster: -1
Word: his, Cluster: -1
Word: say, Cluster: -1
Word: back, Cluster: -1
Word: work, Cluster: -1
Word: many, Cluster: -1
Word: need, Cluster: -1
Word: life, Cluster: -1
Word: take, Cluster: -1
Word: applause, Cluster: -1
Word: does, Cluster: -1
Word: every, Cluster: -1
Word: lot, Cluster: -1
Word: why, Cluster: -1
Word: around, Cluster: -1
Word: her, Cluster: -1
Word: kind, Cluster: -1
Word: good, Cluster: -1
Word: different, Cluster: -1
Word: through, Cluster: -1
Word: same, Cluster: -1
Word: let, Cluster: -1
Word: being, Cluster: -1
Word: down, Cluster: -1
Word: come, Cluster: -1
Word: use, Cluster: -1
Word: day, Cluster: -1
Word: doing, Cluster: -1
Word: put, Cluster: -1
Word: any, Cluster: -1
Word: three, Cluster: -1
Word: called, Cluster: -1
Word: percent, Cluster: -1
Word: tell, Cluster: -1
Word: made, Cluster: -1
Word: after, Cluster: -1
Word: human, Cluster: -1
Word: today, Cluster: -1
Word: find, Cluster: -1
Word: should, Cluster: -1
Word: great, Cluster: -1
Word: talk, Cluster: -1
Word: change, Cluster: -1
Word: fact, Cluster: -1
Word: own, Cluster: -1
Word: its, Cluster: -1
Word: started, Cluster: -1
Word: year, Cluster: -1
Word: before, Cluster: -1
Word: never, Cluster: -1
Word: idea, Cluster: -1
Word: ca, Cluster: -1
Word: last, Cluster: -1
Word: might, Cluster: -1
Word: better, Cluster: -1
Word: big, Cluster: -1
Word: give, Cluster: -1
Word: another, Cluster: -1
Word: thought, Cluster: -1
Word: still, Cluster: -1
Word: went, Cluster: -1
Word: important, Cluster: -1
Word: able, Cluster: -1
Word: each, Cluster: -1
Word: together, Cluster: -1
Word: next, Cluster: -1
Word: problem, Cluster: -1
Word: part, Cluster: -1
Word: him, Cluster: -1
Word: start, Cluster: -1
Word: again, Cluster: -1
Word: women, Cluster: -1
Word: course, Cluster: -1
Word: came, Cluster: -1
Word: system, Cluster: -1
Word: few, Cluster: -1
Word: off, Cluster: -1
Word: show, Cluster: -1
Word: story, Cluster: -1
Word: ago, Cluster: -1
Word: too, Cluster: -1
Word: used, Cluster: -1
Word: brain, Cluster: -1
Word: between, Cluster: -1
Word: place, Cluster: -1
Word: maybe, Cluster: -1
Word: bit, Cluster: -1
Word: love, Cluster: -1
Word: mean, Cluster: -1
Word: data, Cluster: -1
Word: technology, Cluster: -1
Word: found, Cluster: -1
Word: question, Cluster: -1
Word: long, Cluster: -1
Word: example, Cluster: -1
Word: thank, Cluster: -1
Word: water, Cluster: -1
Word: understand, Cluster: -1
Word: end, Cluster: -1
Word: looking, Cluster: -1
Word: live, Cluster: -1
Word: wanted, Cluster: -1
Word: point, Cluster: -1
Word: may, Cluster: -1
Word: always, Cluster: -1
Word: help, Cluster: -1
Word: call, Cluster: -1
Word: feel, Cluster: -1
Word: children, Cluster: -1
Word: done, Cluster: -1
Word: ever, Cluster: -1
Word: school, Cluster: -1
Word: real, Cluster: -1
Word: believe, Cluster: -1
Word: trying, Cluster: -1
Word: person, Cluster: -1
Word: working, Cluster: -1
Word: whole, Cluster: -1
Word: everything, Cluster: -1
Word: away, Cluster: -1
Word: country, Cluster: -1
Word: try, Cluster: -1
Word: sort, Cluster: -1
Word: using, Cluster: -1
Word: million, Cluster: -1
Word: thinking, Cluster: -1
Word: means, Cluster: -1
Word: four, Cluster: -1
Word: took, Cluster: -1
Word: kids, Cluster: -1
Word: times, Cluster: -1
Word: number, Cluster: -1
Word: information, Cluster: -1
Word: money, Cluster: -1
Word: create, Cluster: -1
Word: become, Cluster: -1
Word: second, Cluster: -1
Word: power, Cluster: -1
Word: five, Cluster: -1
Word: enough, Cluster: -1
Word: home, Cluster: -1
Word: getting, Cluster: -1
Word: without, Cluster: -1
Word: small, Cluster: -1
Word: space, Cluster: -1
Word: man, Cluster: -1
Word: best, Cluster: -1
Word: old, Cluster: -1
Word: future, Cluster: -1
Word: social, Cluster: -1
Word: music, Cluster: -1
Word: making, Cluster: -1
Word: am, Cluster: -1
Word: talking, Cluster: -1
Word: comes, Cluster: -1
Word: design, Cluster: -1
Word: less, Cluster: -1
Word: ask, Cluster: -1
Word: city, Cluster: -1
Word: probably, Cluster: -1
Word: sense, Cluster: -1
Word: left, Cluster: -1
Word: told, Cluster: -1
Word: quite, Cluster: -1
Word: happened, Cluster: -1
Word: family, Cluster: -1
Word: body, Cluster: -1
Word: lives, Cluster: -1
Word: pretty, Cluster: -1
Word: food, Cluster: -1
Word: science, Cluster: -1
Word: hard, Cluster: -1
Word: such, Cluster: -1
Word: anything, Cluster: -1
Word: while, Cluster: -1
Word: building, Cluster: -1
Word: energy, Cluster: -1
Word: imagine, Cluster: -1
Word: countries, Cluster: -1
Word: interesting, Cluster: -1
Word: light, Cluster: -1
Word: across, Cluster: -1
Word: health, Cluster: -1
Word: earth, Cluster: -1
Word: having, Cluster: -1
Word: coming, Cluster: -1
Word: experience, Cluster: -1
Word: asked, Cluster: -1
Word: build, Cluster: -1
Word: moment, Cluster: -1
Word: care, Cluster: -1
Word: men, Cluster: -1
Word: saw, Cluster: -1
Word: young, Cluster: -1
Word: play, Cluster: -1
Word: makes, Cluster: -1
Word: once, Cluster: -1
Word: dollars, Cluster: -1
Word: living, Cluster: -1
Word: almost, Cluster: -1
Word: stuff, Cluster: -1
Word: later, Cluster: -1
Word: ways, Cluster: -1
Word: remember, Cluster: -1
Word: days, Cluster: -1
Word: simple, Cluster: -1
Word: yet, Cluster: -1
Word: seen, Cluster: -1
Word: says, Cluster: -1
Word: someone, Cluster: -1
Word: room, Cluster: -1
Word: happen, Cluster: -1
Word: often, Cluster: -1
Word: half, Cluster: -1
Word: high, Cluster: -1
Word: nothing, Cluster: -1
Word: side, Cluster: -1
Word: else, Cluster: -1
Word: learn, Cluster: -1
Word: case, Cluster: -1
Word: global, Cluster: -1
Word: both, Cluster: -1
Word: reason, Cluster: -1
Word: video, Cluster: -1
Word: bad, Cluster: -1
Word: move, Cluster: -1
Word: happens, Cluster: -1
Word: goes, Cluster: -1
Word: already, Cluster: -1
Word: whether, Cluster: -1
Word: saying, Cluster: -1
Word: community, Cluster: -1
Word: single, Cluster: -1
Word: far, Cluster: -1
Word: inside, Cluster: -1
Word: process, Cluster: -1
Word: picture, Cluster: -1
Word: myself, Cluster: -1
Word: problems, Cluster: -1
Word: project, Cluster: -1
Word: states, Cluster: -1
Word: looked, Cluster: -1
Word: public, Cluster: -1
Word: sure, Cluster: -1
Word: instead, Cluster: -1
Word: keep, Cluster: -1
Word: computer, Cluster: -1
Word: history, Cluster: -1
Word: within, Cluster: -1
Word: africa, Cluster: -1
Word: sometimes, Cluster: -1
Word: set, Cluster: -1
Word: months, Cluster: -1
Word: possible, Cluster: -1
Word: job, Cluster: -1
Word: planet, Cluster: -1
Word: wrong, Cluster: -1
Word: matter, Cluster: -1
Word: basically, Cluster: -1
Word: war, Cluster: -1
Word: words, Cluster: -1
Word: answer, Cluster: -1
Word: hope, Cluster: -1
Word: everybody, Cluster: -1
Word: mind, Cluster: -1
Word: child, Cluster: -1
Word: billion, Cluster: -1
Word: business, Cluster: -1
Word: true, Cluster: -1
Word: hand, Cluster: -1
Word: until, Cluster: -1
Word: bring, Cluster: -1
Word: open, Cluster: -1
Word: government, Cluster: -1
Word: united, Cluster: -1
Word: car, Cluster: -1
Word: yes, Cluster: -1
Word: amazing, Cluster: -1
Word: heard, Cluster: -1
Word: looks, Cluster: -1
Word: face, Cluster: -1
Word: woman, Cluster: -1
Word: since, Cluster: -1
