topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0.1313909888267517,0.08484562860043506,0.41510119501192105,0.21449838050460746,0.056703898139121266,0.044242177199086415,0.02963450047088117,0.011876981775368391,0.0022140941637836895,7.937180813357764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05360675975680351,0.052682007102350006,0.0757946616888625,0.7416185846606504,0.043478566913603287,0.016164935365753266,0.00665898752642922,0.001850686198805721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04390227794647217,0.04757748043962887,0.08587744358394828,0.09931746197066137,0.06252085676505452,0.05177298967859575,0.5792939293952215,0.01868577447852918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07001455128192902,0.017643330059945582,0.07273330241441726,0.1591056428849697,0.18863535970449447,0.015595916286110878,0.10072377920150757,0.11991260200738907,0.027291488088667392,0.20715928673744202,0.015761730447411536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04123581200838089,0.05460402530507516,0.08482189993452975,0.054240054111548905,0.7276352416660826,0.020965991873230973,0.001116224738248324,0.0011663884240186821,0.0011796567715325597,0.00015316018045453703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08290241658687592,0.04770289318492779,0.08785520176379344,0.27209999269017804,0.09070799824519035,0.08144226569968921,0.08919221079215789,0.07983056057053499,0.15066810448964438,0.00869941845154151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08550923317670822,0.0574831171709645,0.12638797924487985,0.24107053757013222,0.06907271602124508,0.07722999820751804,0.07114641624502838,0.24886153990935003,0.014542632960780923,0.0005922653363086283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05669769272208214,0.8971114374221639,0.019396886952776225,0.012024164358352093,0.002917776993931608,0.0011328749675700005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03173401951789856,0.059666837337003516,0.08041856701231816,0.0619982123374939,0.046403959850696,0.6968437601219524,0.009992188003591515,0.0017452238635583357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.031013265252113342,0.02190613583661616,0.035582051146775484,0.13748957496136427,0.2193926703184843,0.09088741056621075,0.13426637975499034,0.11944231763482094,0.049879590747877955,0.058227376313880086,0.09783145226538181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8939205408096313,0.04438758835079163,0.024623005364940862,0.016560286870152933,0.005228209837273819,0.0021082241616145834,0.001397006147665771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044254157692193985,0.033758253704204606,0.058760036093493305,0.1228172045752958,0.07926925930573984,0.06144408626412904,0.042509914168881044,0.5327928645743264,0.016286847543799214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12819845974445343,0.08242673047033011,0.14547474473924832,0.47496519844029467,0.04847562746783974,0.056438356943830266,0.037372062539718316,0.015367171761360677,0.0019586370121139813,8.629259479907797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.054264359176158905,0.07937564251377531,0.7988668988292343,0.032539595264923456,0.011183690702641644,0.008666825147822571,0.0036076165258812445,0.0005187928712598368,0.00046641311207831196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03669397160410881,0.03162525909110194,0.06444892934745267,0.1418721509121713,0.05850571620145014,0.08543713634744995,0.06122797563494671,0.06540046570201714,0.42758576500983464,0.02085542989273866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07118766754865646,0.09887180220939114,0.13563283091463463,0.2175525777881414,0.07244601271862924,0.3458620314027222,0.04191122069613824,0.006469476974608613,0.0011382503435015678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083454430103302,0.06255405745469034,0.11017619678750634,0.1763715591902534,0.11301937722600996,0.08848643333961566,0.0834324589620034,0.11703082360327244,0.06494189721221726,0.09028577090551455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0714971199631691,0.07398303031125882,0.12545140243310016,0.2945627082469097,0.06680655289771191,0.06481918152712751,0.25763679249212146,0.034731561293786704,0.0017416354482217382,7.891192702421297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09728297591209412,0.09707901693826956,0.16275572382824885,0.2154977132479171,0.3586983227258106,0.039205096105931043,0.014568176355025322,0.004311520271271253,0.0008216447082998084,0.00032458349847965104,0.0002427514669277685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13724030554294586,0.44973103814766185,0.2025532967512723,0.11931015506480672,0.034045572838738186,0.03232093502086501,0.012621499785856038,0.0029848298417920827,0.0001391229227560909,0.00020366207453883996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
