Word: the, Cluster: 17
Word: and, Cluster: 4
Word: to, Cluster: 15
Word: of, Cluster: 11
Word: a, Cluster: 6
Word: that, Cluster: 15
Word: i, Cluster: 10
Word: in, Cluster: 1
Word: it, Cluster: 15
Word: you, Cluster: 15
Word: we, Cluster: 7
Word: is, Cluster: 6
Word: this, Cluster: 15
Word: they, Cluster: 7
Word: was, Cluster: 12
Word: so, Cluster: 15
Word: for, Cluster: 11
Word: are, Cluster: 7
Word: have, Cluster: 9
Word: what, Cluster: 15
Word: do, Cluster: 18
Word: on, Cluster: 14
Word: but, Cluster: 15
Word: with, Cluster: 8
Word: can, Cluster: 2
Word: about, Cluster: 18
Word: be, Cluster: 9
Word: there, Cluster: 15
Word: not, Cluster: 15
Word: as, Cluster: 11
Word: at, Cluster: 12
Word: all, Cluster: 7
Word: my, Cluster: 10
Word: people, Cluster: 7
Word: one, Cluster: 15
Word: like, Cluster: 13
Word: if, Cluster: 15
Word: from, Cluster: 1
Word: our, Cluster: 5
Word: or, Cluster: 4
Word: an, Cluster: 6
Word: just, Cluster: 15
Word: he, Cluster: 10
Word: these, Cluster: 7
Word: when, Cluster: 15
Word: because, Cluster: 15
Word: me, Cluster: 10
Word: by, Cluster: 4
Word: very, Cluster: 13
Word: out, Cluster: 14
Word: how, Cluster: 15
Word: now, Cluster: 15
Word: them, Cluster: 7
Word: had, Cluster: 12
Word: more, Cluster: 13
Word: know, Cluster: 18
Word: going, Cluster: 2
Word: up, Cluster: 14
Word: would, Cluster: 2
Word: were, Cluster: 12
Word: who, Cluster: 10
Word: their, Cluster: 9
Word: your, Cluster: 10
Word: think, Cluster: 18
Word: see, Cluster: 18
Word: which, Cluster: 6
Word: really, Cluster: 15
Word: get, Cluster: 9
Word: us, Cluster: 15
Word: here, Cluster: 15
Word: laughter, Cluster: 10
Word: then, Cluster: 17
Word: some, Cluster: 7
Word: time, Cluster: 15
Word: world, Cluster: 15
Word: has, Cluster: 5
Word: could, Cluster: 2
Word: into, Cluster: 14
Word: will, Cluster: 2
Word: did, Cluster: 2
Word: where, Cluster: 15
Word: actually, Cluster: 6
Word: way, Cluster: 15
Word: years, Cluster: 16
Word: things, Cluster: 7
Word: other, Cluster: 7
Word: no, Cluster: 15
Word: want, Cluster: 2
Word: been, Cluster: 12
Word: go, Cluster: 9
Word: make, Cluster: 9
Word: she, Cluster: 10
Word: those, Cluster: 7
Word: right, Cluster: 15
Word: something, Cluster: 15
Word: said, Cluster: 10
Word: well, Cluster: 15
Word: first, Cluster: 12
Word: than, Cluster: 16
Word: two, Cluster: 16
Word: much, Cluster: 13
Word: also, Cluster: 13
Word: new, Cluster: 6
Word: look, Cluster: 18
Word: even, Cluster: 13
Word: most, Cluster: 13
Word: got, Cluster: 12
Word: little, Cluster: 17
Word: thing, Cluster: 15
Word: over, Cluster: 14
Word: only, Cluster: 15
Word: his, Cluster: 10
Word: say, Cluster: 18
Word: back, Cluster: 14
Word: work, Cluster: 15
Word: many, Cluster: 7
Word: need, Cluster: 2
Word: life, Cluster: 15
Word: take, Cluster: 9
Word: applause, Cluster: 10
Word: does, Cluster: 2
Word: every, Cluster: 16
Word: lot, Cluster: 13
Word: why, Cluster: 15
Word: around, Cluster: 14
Word: her, Cluster: 10
Word: kind, Cluster: 6
Word: good, Cluster: 13
Word: different, Cluster: 6
Word: through, Cluster: 14
