File Name,Topic,Top Category
911Mothers_2010W.stm,-1,0.019035060722640492
AalaElKhani_2016X.stm,1,0.021523210421817093
AaronHuey_2010X.stm,-1,0.019035060722640492
AaronKoblin_2011.stm,21,data
AaronOConnell_2011.stm,7,brain
AbeDavis_2015.stm,12,robot
AbhaDawesar_2013G.stm,-1,0.019035060722640492
AbigailMarsh_2016T.stm,30,0.028466313189446618
AbigailWashburn_2012U.stm,36,0.019341585173316998
AbrahamVerghese_2011G.stm,0,0.019035060722640492
AchenyoIdachaba_2015W.stm,13,africa
AdamDavidson_2012S.stm,5,0.023080628427246706
AdamdelaZerda_2016X.stm,0,0.019035060722640492
AdamDriver_2015P.stm,8,0.0243782331085516
AdamFoss_2016.stm,20,0.01966286733586073
AdamGalinsky_2016X.stm,-1,0.019035060722640492
AdamGarone_2011X.stm,-1,0.019035060722640492
AdamGrant_2016.stm,-1,0.019035060722640492
AdamGrant_2016S.stm,-1,0.019035060722640492
AdamGrosser_2007.stm,-1,0.019035060722640492
AdamOckelford_2013X.stm,6,music
AdamOstrow_2011G.stm,-1,0.019035060722640492
AdamSadowsky_2010X.stm,-1,0.019035060722640492
AdamSavage_2008P.stm,27,0.021257480980978592
AdamSavage_2016.stm,-1,0.019035060722640492
AdamSpencer_2013.stm,16,students
AditiGupta_2015X.stm,-1,0.019035060722640492
AditiShankardass_2009I.stm,7,brain
AdoraSvitak_2010.stm,-1,0.019035060722640492
AfraRaymond_2012X.stm,-1,0.019035060722640492
AimeeMullins_1998.stm,8,0.0243782331085516
AimeeMullins_2009U.stm,-1,0.019035060722640492
AjitNarayanan_2013.stm,7,brain
AJJacobs_2007P.stm,15,0.023368977971229624
AJJacobs_2011P.stm,-1,0.019035060722640492
AJJacobs_2014A.stm,-1,0.019035060722640492
AlaaMurabit_2015W.stm,1,0.021523210421817093
AlaindeBotton_2009G.stm,22,0.020501274258659642
AlaindeBotton_2011G.stm,1,0.021523210421817093
AlanEustace_2015.stm,2,0.022567121192084903
AlanKay_2007.stm,-1,0.019035060722640492
AlannaShaikh_2012G.stm,0,0.019035060722640492
AlanRussell_2006.stm,0,0.019035060722640492
AlanSiegel_2010.stm,-1,0.019035060722640492
AlanSmith_2016X.stm,5,0.023080628427246706
AlastairParvin_2013.stm,4,0.023488113470486138
AlbertoCairo_2011X.stm,-1,0.019035060722640492
AlecSoth_2015.stm,-1,0.019035060722640492
AlejandroAlvarado_2016X.stm,3,0.02273409523090512
AlejandroAravena_2014G.stm,4,0.023488113470486138
AlessandraOrofino_2014G.stm,4,0.023488113470486138
AlessandroAcquisti_2013G.stm,21,data
AlexaMeade_2013G.stm,11,0.021064375005790892
AlexanderBetts_2016.stm,1,0.021523210421817093
AlexanderBetts_2016T.stm,-1,0.019035060722640492
AlexanderTsiaras_2010P.stm,-1,0.019035060722640492
AlexisOhanian_2009I.stm,21,data
AlexKipman_2016.stm,12,robot
AlexLaskey_2013.stm,10,0.021692012937537072
AlexSteffen_2005G.stm,10,0.021692012937537072
AlexSteffen_2011G.stm,10,0.021692012937537072
AlexTabarrok_2009.stm,5,0.023080628427246706
AlexWissnerGross_2013X.stm,25,0.019679976280056143
AlGore_2006.stm,-1,0.019035060722640492
AlGore_2008.stm,-1,0.019035060722640492
AlGore_2016.stm,10,0.021692012937537072
AliCarrChellman_2010X.stm,14,women
AliceBowsLarkin_2015G.stm,10,0.021692012937537072
AliceDreger_2011X.stm,-1,0.019035060722640492
AliceGoffman_2015.stm,20,0.01966286733586073
AliceRawsthorn_2016.stm,-1,0.019035060722640492
AliciaGarzaandPatrisseCullorsandOpalTometi_2016W.stm,-1,0.019035060722640492
AlisaMiller_2008.stm,-1,0.019035060722640492
AlisonGopnik_2011G.stm,-1,0.019035060722640492
AlisonJackson_2005G.stm,-1,0.019035060722640492
AlisonKilling_2014U.stm,0,0.019035060722640492
AlisonKilling_2014X.stm,4,0.023488113470486138
AlixGenerous_2015W.stm,-1,0.019035060722640492
AllanAdams_2014.stm,2,0.022567121192084903
AllanAdams_2016.stm,2,0.022567121192084903
AllanJones_2011G.stm,7,brain
AllanSavory_2013.stm,10,0.021692012937537072
AllisonHunt_2007.stm,0,0.019035060722640492
AlSeckel_2004.stm,-1,0.019035060722640492
AlVernacchio_2012.stm,-1,0.019035060722640492
AlwarBalasubramaniam_2009I.stm,8,0.0243782331085516
AlysonMcGregor_2014X.stm,0,0.019035060722640492
AlyssaMonks_2015X.stm,8,0.0243782331085516
AmandaBennett_2013P.stm,36,0.019341585173316998
AmandaBurden_2014.stm,4,0.023488113470486138
AmandaPalmer_2013.stm,8,0.0243782331085516
AmberCase_2010W.stm,12,robot
AmeenahGuribFakim_2014G.stm,17,0.022909609567450247
AmeeraHarouda_2016.stm,1,0.021523210421817093
AmiKlin_2011X.stm,7,brain
AmitSood_2011.stm,11,0.021064375005790892
AmitSood_2016.stm,11,0.021064375005790892
AmoryLovins_2005.stm,10,0.021692012937537072
AmoryLovins_2012S.stm,10,0.021692012937537072
AmosWinter_2012X.stm,-1,0.019035060722640492
AmyAdeleHasinoff_2016X.stm,-1,0.019035060722640492
AmyCuddy_2012G.stm,-1,0.019035060722640492
AmyGreen_2017S.stm,-1,0.019035060722640492
AmyLockwood_2011G.stm,32,hiv
AmyPurdy_2011X.stm,8,0.0243782331085516
AmySmith_2006.stm,10,0.021692012937537072
AmyTan_2008.stm,-1,0.019035060722640492
AmyWebb_2013S.stm,8,0.0243782331085516
AnandAgarawala_2007.stm,12,robot
AnandaShankar_2009I.stm,11,0.021064375005790892
AnandGiridharadas_2015.stm,1,0.021523210421817093
AnandGiridharadas_2016T.stm,-1,0.019035060722640492
AnandVarma_2015.stm,28,bees
AnantAgarwal_2013G.stm,16,students
AnasAremeyawAnas_2013.stm,20,0.01966286733586073
AnastasiaTaylorLind_2014U.stm,-1,0.019035060722640492
AndersFjellberg_2015G.stm,-1,0.019035060722640492
AndersYnnerman_2010X.stm,-1,0.019035060722640492
AndrasForgacs_2013G.stm,29,food
AndreaGhez_2009G.stm,2,0.022567121192084903
AndreasEkstrom_2015X.stm,-1,0.019035060722640492
AndreasRaptopoulos_2013G.stm,-1,0.019035060722640492
AndreasSchleicher_2012G.stm,16,students
AndresLozano_2013X.stm,-1,0.019035060722640492
AndresRuzo_2014G.stm,19,water
AndrewBastawrous_2014U.stm,-1,0.019035060722640492
AndrewBird_2010.stm,6,music
AndrewBlum_2012G.stm,4,0.023488113470486138
AndrewConnolly_2014.stm,2,0.022567121192084903
AndrewFitzgerald_2013S.stm,24,0.020450760424449394
AndrewMcAfee_2012X.stm,-1,0.019035060722640492
AndrewMcAfee_2013.stm,-1,0.019035060722640492
AndrewMwenda_2007G.stm,13,africa
AndrewPelling_2016U.stm,-1,0.019035060722640492
AndrewSolomon_2013P.stm,-1,0.019035060722640492
AndrewSolomon_2013X.stm,-1,0.019035060722640492
AndrewSolomon_2014.stm,-1,0.019035060722640492
AndrewYoun_2016.stm,33,0.019935250183761348
AndyHobsbawm_2008.stm,-1,0.019035060722640492
AndyPuddicombe_2012S.stm,22,0.020501274258659642
AndyYen_2014G.stm,21,data
AngelaBelcher_2011X.stm,9,0.020598365209050628
AngelaDuckworth_2013S.stm,16,students
AngelaPatton_2012X.stm,-1,0.019035060722640492
AngelicaDass_2016.stm,-1,0.019035060722640492
AngeloVermeulen_2014U.stm,2,0.022567121192084903
AnilAnanthaswamy_2010P.stm,-1,0.019035060722640492
AnilGupta_2009I.stm,-1,0.019035060722640492
AniLiu_2016X.stm,9,0.020598365209050628
AnjaliTripathi_2015X.stm,2,0.022567121192084903
AnnaDeavereSmith_2005.stm,15,0.023368977971229624
AnnaMracekDietrich_2011G.stm,-1,0.019035060722640492
AnnCooper_2007P.stm,29,food
AnneCurzan_2014X.stm,-1,0.019035060722640492
AnneLamott_2017.stm,-1,0.019035060722640492
AnneMarieSlaughter_2013G.stm,-1,0.019035060722640492
AnneMilgram_2013S.stm,20,0.01966286733586073
AnnetteHeuser_2013G.stm,-1,0.019035060722640492
AnnieLennox_2010G.stm,32,hiv
AnnieMurphyPaul_2011G.stm,-1,0.019035060722640492
AnnMarieThomas_2011.stm,-1,0.019035060722640492
AnnMorgan_2015G.stm,-1,0.019035060722640492
AnoteTong_2015Z.stm,3,0.02273409523090512
AnthonyAtala_2009P.stm,0,0.019035060722640492
AnthonyAtala_2011.stm,0,0.019035060722640492
AnthonyDRomero_2017.stm,-1,0.019035060722640492
AnthonyGoldbloom_2016U.stm,25,0.019679976280056143
AntonioDamasio_2011.stm,7,brain
AntonioGuterres_2015G.stm,1,0.021523210421817093
AntonyGormley_2012G.stm,-1,0.019035060722640492
AnupamMishra_2009I.stm,19,water
AomawaShields_2015U.stm,2,0.022567121192084903
AparnaRao_2011G.stm,-1,0.019035060722640492
AparnaRao_2013U.stm,-1,0.019035060722640492
ApolloRobbins_2013G.stm,-1,0.019035060722640492
AriannaHuffington_2010W.stm,-1,0.019035060722640492
ArielGarten_2011X.stm,-1,0.019035060722640492
ArisVenetikidis_2012X.stm,-1,0.019035060722640492
AriWallach_2016X.stm,22,0.020501274258659642
ArthurBenjamin_2005.stm,16,students
ArthurBenjamin_2009.stm,-1,0.019035060722640492
ArthurBenjamin_2013G.stm,-1,0.019035060722640492
ArthurBrooks_2016.stm,8,0.0243782331085516
ArthurGanson_2004.stm,-1,0.019035060722640492
ArthurPottsDawson_2010G.stm,29,food
ArunachalamMuruganantham_2012S.stm,-1,0.019035060722640492
ArvindGupta_2010P.stm,-1,0.019035060722640492
AshadeVos_2014U.stm,3,0.02273409523090512
AshBeckham_2013X.stm,-1,0.019035060722640492
AshBeckham_2014X.stm,-1,0.019035060722640492
AsherHasan_2009I.stm,1,0.021523210421817093
AshleyJudd_2016W.stm,14,women
AshrafGhani_2005G.stm,-1,0.019035060722640492
AshtonCofer_2016Y.stm,-1,0.019035060722640492
AspenBaker_2015W.stm,8,0.0243782331085516
AstroTeller_2016.stm,-1,0.019035060722640492
AtulGawande_2012.stm,0,0.019035060722640492
AubreydeGrey_2005G.stm,-1,0.019035060722640492
AudreyChoi_2015S.stm,-1,0.019035060722640492
AukeIjspeert_2015G.stm,-1,0.019035060722640492
AuretvanHeerden_2010G.stm,-1,0.019035060722640492
AviReichental_2014.stm,-1,0.019035060722640492
AviRubin_2011X.stm,-1,0.019035060722640492
AyahBdeir_2012U.stm,9,0.020598365209050628
AzizAbuSarah_2014U.stm,1,0.021523210421817093
AzizaChaouni_2014U.stm,19,water
BabaShiv_2012X.stm,0,0.019035060722640492
BahiaShehab_2012G.stm,1,0.021523210421817093
BandiMbubi_2012X.stm,13,africa
BaratAliBatoor_2014X.stm,1,0.021523210421817093
BarbaraBlock_2010Z.stm,3,0.02273409523090512
BarbaraNattersonHorowitz_2014P.stm,0,0.019035060722640492
BarrySchuler_2008P.stm,-1,0.019035060722640492
